iter	RMSE
0	5855565.061
1	5693025.489
2	5526094.977
3	5360725.661
4	5216312.956
5	5059120.554
6	4913194.832
7	4781678.207
8	4654942.959
9	4523837.988
10	4404143.953
11	4280369.746
12	4169145.758
13	4047647.251
14	3942541.009
15	3840784.128
16	3736313.701
17	3641803.861
18	3538237.378
19	3450493.771
20	3365816.801
21	3284087.595
22	3197959.381
23	3120637.163
24	3040002.612
25	2969012.164
26	2899461.894
27	2828160.809
28	2754747.486
29	2691490.157
30	2631924.509
31	2574643.829
32	2516881.275
33	2454869.246
34	2403526.693
35	2352877.581
36	2335620.98
37	2286867.068
38	2273886.479
39	2227485.987
40	2181999.888
41	2137214.702
42	2089528.383
43	2047993.706
44	2010323.969
45	1990398.968
46	1954583.576
47	1913955.684
48	1879575.649
49	1844541.682
50	1812529.737
51	1779047.425
52	1761771.352
53	1732951.771
54	1704171.41
55	1677914.769
56	1649886.09
57	1623417.846
58	1599894.877
59	1577291.706
60	1555955.812
61	1545429.224
62	1528896.607
63	1522253.773
64	1502022.388
65	1482491.996
66	1463672.497
67	1446090.133
68	1427048.1
69	1411115.224
70	1392731.363
71	1377607.557
72	1356757.882
73	1348424.744
74	1335061.113
75	1322355.993
76	1310122.1
77	1298213.209
78	1275154.331
79	1269607.948
80	1258994.089
81	1251898.788
82	1239454.116
83	1234073.001
84	1224004.989
85	1214892.132
86	1204275.183
87	1195652.637
88	1187319.166
89	1171124.931
90	1163632.112
91	1154894.44
92	1147781.529
93	1141406.87
94	1127963.678
95	1121663.089
96	1115389.17
97	1109818.256
98	1103110.741
99	1097891.908
100	1093237.074
101	1088535.462
102	1084262.201
103	1080352.603
104	1073606.955
105	1071017.199
106	1066689.307
107	1062340.131
108	1053292.564
109	1048971.115
110	1041202.908
111	1036795.824
112	1033560.372
113	1030691.415
114	1027539.175
115	1024160.812
116	1017903.278
117	1013695.761
118	1011496.69
119	1006366.348
120	1004409.628
121	1001637.317
122	999052.0076
123	997384.4697
124	995301.3962
125	993727.0834
126	992249.4367
127	987473.3927
128	986110.3746
129	984110.4549
130	980236.0617
131	979084.3041
132	977197.6027
133	976191.1724
