iter	Passed	Remaining
0	188	188393
1	233	116300
2	272	90598
3	313	77984
4	350	69779
5	391	64938
6	432	61336
7	528	65561
8	566	62330
9	605	59946
10	647	58257
11	688	56714
12	734	55749
13	774	54511
14	815	53530
15	857	52728
16	898	51953
17	941	51371
18	980	50639
19	1022	50083
20	1053	49130
21	1094	48670
22	1133	48135
23	1172	47699
24	1209	47189
25	1247	46747
26	1287	46390
27	1323	45956
28	1361	45589
29	1400	45298
30	1440	45027
31	1476	44653
32	1516	44425
33	1553	44143
34	1590	43856
35	1629	43641
36	1671	43493
37	1709	43274
38	1749	43118
39	1787	42906
40	1826	42728
41	1865	42551
42	1903	42354
43	1944	42248
44	1975	41932
45	2014	41786
46	2053	41629
47	2091	41488
48	2129	41322
49	2165	41136
50	2207	41070
51	2246	40954
52	2287	40877
53	2326	40760
54	2367	40684
55	2408	40596
56	2448	40499
57	2491	40457
58	2530	40356
59	2568	40242
60	2608	40160
61	2648	40064
62	2689	40008
63	2733	39972
64	2771	39870
65	2812	39796
66	2854	39749
67	2893	39655
68	2933	39578
69	2972	39491
70	3011	39404
71	3051	39332
72	3091	39258
73	3131	39180
74	3171	39113
75	3210	39033
76	3253	39004
77	3295	38952
78	3336	38892
79	3378	38857
80	3417	38774
81	3457	38708
82	3497	38638
83	3539	38596
84	3579	38537
85	3619	38470
86	3663	38442
87	3702	38369
88	3743	38317
89	3784	38269
90	3825	38215
91	3864	38141
92	3904	38075
93	3944	38013
94	3984	37962
95	4024	37900
96	4066	37858
97	4106	37800
98	4145	37724
99	4182	37642
100	4223	37593
101	4262	37529
102	4303	37479
103	4342	37413
104	4381	37344
105	4422	37298
106	4466	37273
107	4503	37196
108	4545	37152
109	4584	37093
110	4626	37054
111	4664	36985
112	4705	36935
113	4746	36893
114	4786	36838
115	4826	36780
116	4866	36726
117	4906	36671
118	4945	36612
119	4985	36558
120	5025	36506
121	5064	36448
122	5103	36388
123	5144	36340
124	5185	36301
125	5229	36274
126	5271	36237
127	5311	36186
128	5351	36133
129	5390	36073
130	5430	36026
131	5470	35969
132	5510	35923
133	5550	35871
134	5593	35837
135	5633	35789
136	5673	35741
137	5714	35697
138	5754	35642
139	5795	35599
140	5835	35548
141	5876	35508
142	5918	35472
143	5959	35424
144	5997	35366
145	6039	35329
146	6081	35286
147	6122	35244
148	6165	35213
149	6207	35173
150	6246	35122
151	6288	35082
152	6328	35033
153	6371	35000
154	6412	34959
155	6454	34919
156	6494	34873
157	6535	34828
158	6577	34788
159	6618	34747
160	6659	34705
161	6703	34676
162	6743	34628
