iter	RMSE
0	6308639.336
1	6293440.418
2	6278310.466
3	6263230.649
4	6248204.226
5	6233225.272
6	6218285.626
7	6203400.726
8	6188562.608
9	6173763.046
10	6159009.93
11	6144302.118
12	6128633.828
13	6114015.624
14	6099297.318
15	6084770.511
16	6081503.762
17	6066033.992
18	6062604.923
19	6048184.262
20	6033806.126
21	6019463.031
22	6005165.907
23	6001851.892
24	5998761.758
25	5984521.529
26	5970322.018
27	5956169.816
28	5952359.024
29	5937381.499
30	5923323.813
31	5920408.63
32	5917516.791
33	5914695.705
34	5911895.726
35	5909316.558
36	5894527.161
37	5891706.633
38	5877059.108
39	5863140.476
40	5849223.253
41	5834699.987
42	5821184.512
43	5817743.02
44	5803960.856
45	5801482.476
46	5798993.924
47	5785286.597
48	5782407.394
49	5768935.633
50	5755584.682
51	5752933.849
52	5739570.618
53	5725861.77
54	5723298.981
55	5710018.191
56	5696521.126
57	5694145.197
58	5691037.934
59	5688801.819
60	5675371.985
61	5673112.204
62	5659668.917
63	5645703.06
64	5641718.613
65	5628600.877
66	5626395.675
67	5624188.603
68	5611092.73
69	5608950.155
70	5595854.039
71	5582858.437
72	5569198.441
73	5556197.813
74	5553925.571
75	5540979.732
76	5527906.841
77	5524215.371
78	5511189.462
79	5497692.952
80	5484716.136
81	5472016.444
82	5458657.522
83	5456337.961
84	5443473.86
85	5430846.722
86	5418209.517
87	5405690.972
88	5393262.143
89	5390962.355
90	5388687.356
91	5386686.462
92	5373574.083
93	5361143.842
94	5348815.47
95	5336484.01
96	5333073.526
97	5330245.726
98	5328286.292
99	5315442.684
100	5313539.255
101	5301271.57
102	5289015.003
103	5276261.251
104	5273551.763
105	5271795.382
106	5259625.29
107	5247474.343
108	5235354.016
109	5223076.468
110	5221275.797
111	5209272.106
112	5197293.65
113	5184854.404
114	5172908.719
115	5161005.687
116	5149122.833
117	5147317.828
118	5145599.502
119	5133751.306
120	5121737.812
121	5119514.658
122	5107731.75
123	5096065.279
124	5093481.807
125	5090535.376
126	5078298.868
127	5066107.633
128	5054526.009
129	5042955.095
130	5041305.071
131	5029724.176
132	5018228.013
133	5006722.752
134	4994731.762
135	4983281.018
136	4971865.454
137	4960054.982
138	4957625.431
139	4954774.742
140	4943460.204
141	4932160.719
142	4930159.683
143	4918961.49
144	4907708.545
145	4896099.347
146	4884654.089
147	4882036.852
148	4870815.414
149	4859731.257
150	4848713.736
151	4846534.534
152	4835425.02
153	4824479.061
154	4813526.3
155	4810967.875
156	4800048.81
157	4789192.952
158	4787442.571
159	4785308.245
160	4774408.56
161	4763519.82
162	4752228.13
163	4750751.072
164	4739938.608
165	4738485.871
166	4736121.162
167	4725362.494
168	4722932.002
169	4712192.431
170	4701138.375
171	4690441.26
172	4679794.928
173	4669153.302
174	4658618.99
175	4656250.871
176	4653980.773
177	4643385.345
178	4641973.105
179	4631457.466
180	4620550.253
181	4618362.232
182	4607894.177
183	4597496.5
184	4595644.212
185	4585236.501
186	4574857.987
187	4564506.709
188	4554251.693
189	4543991.721
190	4533732.285
191	4523293.167
192	4513146.79
193	4511917.755
194	4501802.853
195	4491655.337
196	4481141.642
197	4471001.659
198	4460914.337
199	4459226.827
200	4449171.011
201	4439144.031
202	4428971.227
203	4418823.634
204	4408526.847
205	4398248.35
206	4388069.168
207	4378302.308
208	4368486.148
209	4367249.965
210	4365208.735
211	4355067.061
212	4345364.793
213	4335596.878
214	4325858.257
215	4316177.808
216	4306562.685
217	4304915.492
218	4295290.991
219	4285666.568
220	4284056.77
221	4282549.887
222	4272985.701
223	4263284.708
224	4253743.763
225	4251865.541
226	4250366.833
227	4240949.914
228	4231614.243
229	4230121.142
230	4220667.131
231	4211300.893
232	4201921.718
233	4192576.816
234	4183084.629
235	4173778.202
236	4164514.545
237	4163059.898
238	4153930.961
239	4144439.576
240	4135285.675
241	4126203.196
242	4118989.303
243	4109831.631
244	4100694.881
245	4091588.106
246	4082399.789
247	4073225.434
248	4064296.548
249	4055338.887
250	4046399.224
251	4044755.145
252	4043578.639
253	4034735.88
254	4033056.857
255	4023905.53
256	4015080.945
257	4006238.067
258	3997529.016
259	3988718.911
260	3987383.38
261	3978610.626
262	3977370.796
263	3968654.644
264	3959806.177
265	3951231.209
266	3942673.649
267	3934019.999
268	3925430.021
269	3916839.062
270	3908137.863
271	3899593.652
272	3891166.052
