iter	Passed	Remaining
0	96	96303
1	179	89774
2	253	84327
3	330	82331
4	402	80149
5	475	78813
6	547	77678
7	623	77348
8	697	76781
9	776	76840
10	850	76449
11	924	76119
12	1047	79513
13	1192	83988
14	1285	84446
15	1388	85378
16	1517	87759
17	1596	87093
18	1680	86768
19	1758	86153
20	1835	85552
21	1914	85122
22	1998	84900
23	2085	84816
24	2170	84664
25	2247	84206
26	2326	83839
27	2402	83409
28	2484	83196
29	2562	82846
30	2636	82406
31	2714	82121
32	2795	81915
33	2873	81649
34	2956	81518
35	3048	81634
36	3133	81552
37	3227	81706
38	3314	81683
39	3399	81579
40	3484	81499
41	3565	81318
42	3646	81153
43	3726	80958
44	3812	80919
45	3892	80736
46	3985	80813
47	4064	80620
48	4145	80461
49	4229	80359
50	4303	80084
51	4381	79874
52	4460	79701
53	4532	79406
54	4618	79356
55	4705	79323
56	4783	79130
57	4867	79052
58	4952	78985
59	5034	78873
60	5119	78800
61	5198	78654
62	5282	78559
63	5360	78401
64	5452	78427
65	5533	78304
66	5679	79082
67	5820	79771
68	5907	79708
69	6002	79753
70	6104	79877
71	6187	79754
72	6262	79531
73	6352	79494
74	6439	79416
75	6519	79267
76	6602	79141
77	6681	78984
78	6761	78832
79	6839	78649
80	6913	78435
81	6989	78247
82	7059	77998
83	7133	77791
84	7212	77635
85	7291	77495
86	7369	77341
87	7457	77289
88	7526	77040
89	7606	76914
90	7688	76797
91	7771	76704
92	7847	76538
93	7925	76389
94	8012	76324
95	8102	76302
96	8181	76163
97	8262	76046
98	8337	75881
99	8411	75706
100	8486	75542
101	8562	75383
102	8639	75235
103	8726	75186
104	8817	75155
105	8912	75169
106	9085	75824
107	9181	75833
108	9264	75729
109	9341	75582
110	9413	75393
111	9499	75316
112	9577	75178
113	9652	75021
114	9731	74892
115	9814	74790
116	9896	74685
117	9991	74682
118	10095	74743
119	10192	74748
120	10274	74638
121	10352	74503
122	10436	74412
123	10517	74303
124	10595	74169
125	10678	74068
126	10752	73911
127	10833	73803
128	10908	73654
129	10992	73561
130	11077	73484
131	11159	73380
132	11238	73259
133	11318	73149
134	11399	73043
135	11481	72939
136	11566	72860
137	11646	72751
138	11729	72652
139	11809	72545
140	11893	72458
141	11977	72372
142	12060	72277
143	12156	72266
144	12244	72199
145	12331	72129
146	12416	72049
147	12504	71984
148	12595	71939
149	12682	71866
150	12759	71740
151	12844	71657
152	12939	71631
153	13013	71487
154	13109	71467
155	13206	71448
156	13298	71403
157	13373	71271
158	13458	71188
159	13546	71121
160	13639	71078
161	13727	71011
162	13815	70940
163	13904	70878
164	14000	70853
165	14091	70794
166	14183	70747
167	14280	70723
168	14370	70662
169	14465	70627
170	14556	70566
171	14640	70480
172	14732	70425
173	14824	70372
174	14914	70313
175	14998	70221
176	15093	70180
177	15187	70135
178	15284	70104
179	15370	70020
180	15452	69921
181	15541	69851
182	15635	69802
183	15725	69740
184	15811	69657
185	15903	69598
186	15987	69507
187	16075	69430
188	16184	69448
189	16301	69496
190	16443	69648
191	16600	69861
192	16707	69857
193	16852	70017
194	16961	70019
195	17042	69907
196	17122	69792
197	17215	69730
198	17300	69636
199	17376	69504
200	17458	69398
201	17540	69293
202	17616	69165
203	17692	69034
204	17774	68928
205	17854	68819
206	17933	68703
207	18010	68579
208	18102	68512
209	18189	68427
210	18277	68345
211	18367	68273
212	18454	68186
213	18546	68120
214	18632	68031
215	18722	67955
216	18814	67886
217	18895	67781
218	18983	67697
219	19080	67650
220	19169	67570
221	19258	67492
222	19360	67457
223	19479	67481
224	19633	67626
225	19720	67538
226	19812	67466
227	19903	67391
228	19989	67300
229	20079	67223
230	20171	67151
231	20259	67064
232	20345	66972
233	20437	66902
234	20523	66810
235	20617	66743
236	20706	66661
237	20796	66583
238	20886	66504
239	20968	66398
240	21063	66336
241	21145	66231
242	21234	66149
243	21318	66051
244	21408	65973
245	21496	65886
246	21580	65790
247	21664	65692
248	21746	65590
249	21832	65497
250	21924	65423
251	22016	65351
252	22116	65299
253	22206	65221
254	22323	65220
255	22442	65222
256	22562	65230
257	22691	65260
258	22783	65184
259	22869	65091
260	22956	64998
261	23043	64908
262	23138	64839
263	23230	64763
264	23315	64666
265	23400	64572
266	23495	64502
267	23593	64441
268	23673	64332
269	23761	64243
270	23849	64156
271	23929	64045
272	24012	63945
273	24105	63870
274	24203	63807
275	24288	63713
276	24378	63630
277	24468	63546
278	24553	63452
279	24642	63367
280	24727	63271
281	24817	63188
282	24908	63106
283	24999	63025
284	25089	62944
285	25180	62864
286	25269	62777
287	25357	62689
288	25444	62598
289	25536	62519
290	25617	62414
291	25699	62313
292	25784	62217
293	25868	62120
294	25964	62050
295	26054	61967
296	26145	61885
297	26234	61800
298	26323	61714
299	26410	61624
300	26498	61536
301	26587	61451
302	26685	61385
303	26771	61293
304	26862	61210
305	26952	61127
306	27057	61077
307	27146	60991
308	27232	60899
309	27322	60815
310	27402	60709
311	27487	60612
312	27560	60491
313	27640	60386
314	27719	60278
315	27799	60173
316	27880	60071
317	27956	59957
318	28027	59831
319	28094	59699
320	28167	59581
321	28247	59477
322	28330	59381
323	28412	59281
324	28491	59174
325	28576	59082
326	28665	58995
327	28733	58867
328	28813	58765
329	28902	58680
330	29013	58640
331	29104	58559
332	29221	58531
333	29326	58477
334	29425	58411
335	29509	58317
336	29586	58206
337	29664	58100
338	29753	58015
339	29835	57916
340	29933	57848
341	30089	57892
342	30376	58185
343	30465	58096
344	30557	58015
345	30646	57926
346	30745	57857
347	30834	57770
348	30924	57684
349	31006	57583
350	31087	57481
351	31188	57414
352	31276	57325
353	31367	57241
354	31458	57156
355	31549	57072
356	31637	56983
357	31734	56909
358	31824	56823
359	31916	56739
360	32009	56659
361	32100	56575
362	32185	56480
363	32281	56404
364	32408	56381
365	32504	56306
366	32594	56218
367	32679	56124
368	32775	56047
369	32877	55980
370	32973	55904
371	33058	55808
372	33149	55722
373	33240	55637
374	33329	55548
375	33414	55453
376	33493	55348
377	33575	55248
378	33656	55147
379	33730	55034
380	33810	54930
381	33894	54834
382	33977	54736
383	34057	54634
384	34138	54533
385	34217	54428
386	34292	54319
387	34381	54230
388	34480	54158
389	34583	54092
390	34665	53993
391	34744	53890
392	34826	53791
393	34918	53706
394	34993	53597
395	35080	53505
396	35163	53408
397	35248	53315
398	35327	53212
399	35408	53113
400	35484	53005
401	35556	52892
402	35631	52784
403	35698	52663
404	35773	52555
405	35845	52443
406	35925	52343
407	36023	52269
408	36121	52195
409	36204	52099
410	36320	52050
411	36405	51956
412	36484	51855
413	36563	51753
414	36637	51645
415	36716	51544
416	36800	51450
417	36878	51348
418	36977	51274
419	37066	51186
420	37150	51093
421	37224	50984
422	37297	50876
423	37376	50775
424	37456	50676
425	37536	50577
426	37626	50492
427	37723	50414
428	37836	50360
429	37916	50260
430	37998	50165
431	38076	50064
432	38150	49957
433	38226	49853
434	38305	49753
435	38382	49651
436	38459	49548
437	38534	49443
438	38608	49337
439	38679	49228
440	38758	49128
441	38838	49031
442	38923	48939
443	39014	48856
444	39096	48760
445	39183	48672
446	39267	48579
447	39353	48489
448	39436	48394
449	39501	48280
450	39586	48188
451	39669	48094
452	39739	47985
453	39821	47890
454	39905	47798
455	40008	47729
456	40187	47749
457	40299	47690
458	40380	47594
459	40466	47503
460	40551	47412
461	40638	47323
462	40724	47232
463	40801	47132
464	40881	47036
465	40973	46952
466	41065	46869
467	41149	46776
468	41230	46680
469	41305	46578
470	41387	46484
471	41467	46386
472	41539	46282
473	41623	46189
474	41696	46085
475	41777	45990
476	41854	45890
477	41944	45805
478	42029	45714
479	42128	45638
480	42217	45553
481	42308	45468
482	42395	45379
483	42485	45293
484	42569	45202
485	42656	45114
486	42731	45012
487	42814	44920
488	42900	44830
489	42985	44739
490	43072	44651
491	43158	44562
492	43245	44473
493	43334	44386
494	43453	44331
495	43576	44279
496	43665	44192
497	43754	44105
498	43839	44015
499	43925	43925
500	44015	43839
501	44100	43749
502	44189	43662
503	44273	43571
504	44355	43477
505	44435	43382
506	44519	43290
507	44597	43193
508	44677	43097
509	44752	42997
510	44834	42903
511	44920	42814
512	44999	42718
513	45119	42661
514	45219	42584
515	45300	42491
516	45390	42405
517	45486	42325
518	45589	42251
519	45680	42166
520	45773	42083
521	45863	41997
522	45941	41900
523	46026	41810
524	46113	41721
525	46197	41630
526	46286	41543
527	46368	41450
528	46456	41363
529	46541	41272
530	46627	41183
531	46719	41098
532	46806	41010
533	46890	40919
534	46976	40830
535	47063	40741
536	47159	40660
537	47290	40609
538	47387	40530
539	47473	40440
540	47554	40346
541	47638	40255
542	47723	40165
543	47812	40078
544	47906	39995
545	48006	39917
546	48100	39834
547	48198	39755
548	48286	39667
549	48376	39580
550	48465	39493
551	48560	39411
552	48649	39324
553	48733	39232
554	48824	39147
555	48918	39064
556	49012	38981
557	49108	38899
558	49195	38810
559	49284	38723
